神说 要有光
 
 {  2801.000       ,  9.686          
 },{  3001.000       ,  6.743          
 },{  3201.000       ,  7.029          
 },{  3501.000       ,  7.457          
 },{  3701.000       ,  7.743          
 },{  3901.000       ,  8.029          
 },{  4201.000       ,  6.343          
 },{  4401.000       ,  6.557          
 },{  4601.000       ,  6.771          
 },{  4801.000       ,  6.986          
 },{  5101.000       ,  5.846          
 },{  5301.000       ,  6.017          
 },{  5501.000       ,  6.189          
 },{  5701.000       ,  6.360          
 },{  5901.000       ,  6.531          
 },{  6201.000       ,  5.657          
 },{  6401.000       ,  5.800          
 },{  6601.000       ,  5.943          
 },{  6801.000       ,  6.086          
 },{  7001.000       ,  5.339          
 },{  7301.000       ,  5.522          
 },{  7501.000       ,  5.645          
 },{  7701.000       ,  5.767          
 },{  7901.000       ,  5.890          
 },{  8101.000       ,  5.261          
 },{  8301.000       ,  5.368          
 },{  8601.000       ,  5.529          
 },{  8801.000       ,  5.636          
 },{  9001.000       ,  5.105          
 },{  9201.000       ,  5.200          
 },{  9401.000       ,  5.295          
 },{  9701.000       ,  5.438          
 },{  9901.000       ,  5.533          
 },{  10101.000      ,  5.066          
 },{  10301.000      ,  5.151          
 },{  10501.000      ,  5.237          
 },{  10801.000      ,  5.366          
 },{  11001.000      ,  4.956          
 },{  11301.000      ,  5.073          
 },{  11501.000      ,  5.151          
 },{  11701.000      ,  5.229          
 },{  11901.000      ,  5.306          
 },{  12101.000      ,  4.936          
 },{  12401.000      ,  5.043          
 },{  12601.000      ,  5.114          
 },{  12801.000      ,  5.186          
 },{  13001.000      ,  4.853          
 },{  13201.000      ,  4.919          
 },{  13501.000      ,  5.018          
 },{  13701.000      ,  5.084          
 },{  13901.000      ,  5.149          
 },{  14101.000      ,  4.843          
 },{  14301.000      ,  4.904          
 },{  14601.000      ,  4.996          
 },{  14801.000      ,  5.057          
 },{  15001.000      ,  4.777          
 },{  15201.000      ,  4.834          
 },{  15401.000      ,  4.891          
 },{  15701.000      ,  4.977          
 },{  15901.000      ,  5.034          
 },{  16101.000      ,  4.773          
 },{  16301.000      ,  4.827          
 },{  16501.000      ,  4.880          
 },{  16801.000      ,  4.961          
 },{  17001.000      ,  4.719          
