time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz)
2.901,0,0,1,-0.14,-0.9,-0.1,-0.5,0,-1
3.501,0,0,1,-0.04,0.76,-0.1,0.7,0,0.8
4.101,0,0,1,-0.1,0.62,-0.2,0.8,-0.1,0.6
4.801,0,0,1,-0.08,1,-0.2,1,-0.2,1
5.401,0,0,1,-0.1,0.24,0,0.2,0,0.2
6.101,0,0,1,0,1,0,1,0,1
6.701,0,0,1,-0.12,-0.16,0,-0.1,0,-0.2
7.301,0,0,1,-0.08,-0.02,-0.3,-0.1,-0.2,0
7.901,0,0,1,-0.08,1,-0.3,1,-0.2,1
8.501,0,0,1,-0.1,-0.34,-0.4,-0.3,-0.2,-0.4
9.201,0,0,1,0,0.98,0,1,0,1
9.801,0,0,1,-0.12,-0.74,-0.3,-0.7,-0.1,-0.8
10.401,0,0,1,-0.02,0.52,0,0.4,0,0.6
11.001,0,0,1,0,0.84,0,0.9,0,0.8
11.601,0,0,1,-0.16,-0.86,0,-0.8,-0.3,-1
12.201,0,0,1,-0.02,0.68,0,0.6,0,0.7
12.901,0,0,1,-0.12,-0.64,0,-0.8,-0.3,-0.6
13.601,0,0,1,-0.02,0.04,0,0.1,0,0
14.201,0,0,1,-0.16,-0.28,-0.2,-0.4,-0.4,-0.2
14.801,0,0,1,0,1,-0.1,1,0,1
15.401,0,0,1,-0.1,-0.12,0,0,-0.1,-0.2
16.001,0,0,1,-0.04,-0.1,-0.2,-0.2,0,-0.1
16.601,0,0,1,0,1,0,1,0,1
17.301,0,0,1,-0.08,0.3,0,0.2,-0.1,0.3
17.901,0,0,1,-0.02,1,-0.2,1,-0.1,1
18.501,0,0,1,-0.08,-0.64,-0.1,-0.6,0,-0.7
19.101,0,0,1,-0.16,0.44,-0.4,0.4,-0.4,0.4
19.701,0,0,1,-0.02,0.92,-0.1,1,-0.1,0.9
20.401,0,0,1,-0.02,0.84,0,0.8,0,0.8
21.001,0,0,1,-0.06,0.52,-0.3,0.6,-0.2,0.5
21.701,0,0,1,-0.02,1,-0.1,1,-0.1,1
22.201,0,0,1,-0.06,0.98,-0.2,1,-0.1,1
22.801,0,0,1,-0.1,0.36,-0.2,0.4,-0.3,0.4
23.401,0,0,1,0,-0.6,0,-0.7,0,-0.6
24.101,0,0,1,-0.06,-0.04,-0.1,0,-0.2,0
24.801,0,0,1,-0.02,1,-0.1,1,-0.1,1
25.401,0,0,1,-0.16,-0.42,-0.5,-0.4,-0.6,-0.4
26.001,0,0,1,-0.02,0.2,-0.1,0.1,-0.1,0.2
26.601,0,0,1,0,1,0,1,0,1
27.201,0,0,1,0,-0.6,-0.2,-0.5,0,-0.6
27.901,0,0,1,-0.02,0.76,-0.2,0.8,-0.1,0.8
28.501,0,0,1,0,-0.96,0,-1,0,-1
29.101,0,0,1,-0.02,0.76,-0.3,0.7,-0.1,0.8
