time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz),,,,,,,,,,,
2.801,0,1,1,-0.4,-0.84,-0.4,-0.9,-0.3,-0.8,,,,,,,,,,,
3.401,0,1,1,-0.5,0.92,-0.1,0.9,-0.1,0.9,,,,,,,,,,,
4.001,0,1,1,-0.54,0.44,-0.2,0.5,0,0.4,,,,,,,,,,,
4.601,0,1,1,-0.42,-0.68,-0.3,-0.7,-0.1,-0.7,,,,,,,,,,,
5.201,0,1,1,-0.56,1,-0.1,1,0,1,,,,,,,,,,,
5.801,0,1,1,-0.5,0.28,0,0.3,-0.3,0.3,,,,,,,,,,,
6.401,0,1,1,-0.46,-0.52,-0.1,-0.5,-0.2,-0.5,,,,,,,,,,,
7.001,0,1,1,-0.52,1,-0.1,1,0,1,,,,,,,,,,,
7.601,0,1,1,-0.52,0.12,-0.3,0.1,-0.3,0.1,,,,,,,,,,,
8.201,0,1,1,-0.5,-0.36,-0.3,-0.4,0,-0.3,,,,,,,,,,,
8.801,0,1,1,-0.52,1,-0.1,1,-0.1,1,,,,,,,,,,,
9.501,0,1,1,-0.48,0.04,-0.3,0,0,0.1,,,,,,,,,,,
10.101,0,1,1,-0.44,1,-0.2,1,-0.2,1,,,,,,,,,,,
10.701,0,1,1,-0.56,-0.44,-0.4,-0.4,-0.1,-0.5,,,,,,,,,,,
11.301,0,1,1,-0.4,0.2,-0.1,0.1,-0.1,0.3,,,,,,,,,,,
11.901,0,1,1,-0.52,1,-0.2,1,-0.3,1,,,,,,,,,,,
12.501,0,1,1,-0.44,-0.6,-0.1,-0.5,-0.4,-0.7,,,,,,,,,,,
13.101,0,1,1,-0.42,0.36,0,0.3,-0.4,0.4,,,,,,,,,,,
13.701,0,1,1,-0.54,0.96,0,1,-0.1,0.9,,,,,,,,,,,
14.301,0,1,1,-0.46,-0.76,0,-0.7,-0.1,-0.8,,,,,,,,,,,
14.901,0,1,1,-0.56,0.52,0,0.5,-0.2,0.5,,,,,,,,,,,
15.501,0,1,1,-0.52,0.84,-0.1,0.9,0,0.8,,,,,,,,,,,
16.201,0,1,1,-0.58,0.92,-0.3,0.9,-0.1,0.9,,,,,,,,,,,
16.801,0,1,1,-0.52,0.44,-0.1,0.5,-0.2,0.4,,,,,,,,,,,
17.401,0,1,1,-0.4,-0.68,-0.3,-0.7,-0.5,-0.7,,,,,,,,,,,
18.001,0,1,1,-0.6,1,-0.2,1,-0.2,1,,,,,,,,,,,
18.601,0,1,1,-0.48,0.28,-0.3,0.3,-0.1,0.3,,,,,,,,,,,
19.201,0,1,1,-0.48,-0.52,-0.1,-0.5,-0.2,-0.5,,,,,,,,,,,
19.901,0,1,1,-0.52,-0.12,-0.1,-0.1,-0.3,-0.1,,,,,,,,,,,
20.501,0,1,1,-0.54,-0.12,-0.2,-0.1,-0.2,-0.1,,,,,,,,,,,
21.101,0,1,1,-0.56,1,-0.1,1,-0.3,1,,,,,,,,,,,
21.701,0,1,1,-0.46,-0.28,-0.1,-0.3,-0.1,-0.3,,,,,,,,,,,
22.301,0,1,1,-0.54,0.04,-0.1,0,0,0.1,,,,,,,,,,,
22.801,0,1,1,-0.42,-0.2,-0.1,-0.3,-0.2,-0.1,,,,,,,,,,,
23.501,0,1,1,-0.6,-0.44,-0.1,-0.4,-0.1,-0.5,,,,,,,,,,,
24.101,0,1,1,-0.44,0.2,0,0.1,0,0.3,,,,,,,,,,,
24.701,0,1,1,-0.56,1,0,1,-0.2,1,,,,,,,,,,,
25.301,0,1,1,-0.52,-0.6,-0.1,-0.5,0,-0.7,,,,,,,,,,,
25.901,0,1,1,-0.44,0.36,0,0.3,-0.2,0.4,,,,,,,,,,,
26.501,0,1,1,-0.62,0.96,-0.3,1,-0.1,0.9,,,,,,,,,,,
27.201,0,1,1,-0.56,0.76,-0.2,0.7,-0.1,0.8,,,,,,,,,,,
27.801,0,1,1,-0.5,0.6,-0.1,0.7,-0.2,0.5,,,,,,,,,,,
28.401,0,1,1,-0.42,-0.84,-0.1,-0.9,-0.2,-0.8,,,,,,,,,,,
29.001,0,1,1,-0.56,0.92,-0.1,0.9,-0.3,0.9,,,,,,,,,,,
29.601,0,1,1,-0.5,0.44,-0.2,0.5,-0.1,0.4,,,,,,,,,,,
30.201,0,1,1,-0.5,-0.68,-0.2,-0.7,-0.2,-0.7,,,,,,,,,,,
30.801,0,1,1,-0.62,1,-0.1,1,0,1,,,,,,,,,,,
31.401,0,1,1,-0.54,0.28,-0.4,0.3,-0.1,0.3,,,,,,,,,,,
32.001,0,1,1,-0.52,-0.52,-0.1,-0.5,-0.4,-0.5,,,,,,,,,,,
32.601,0,1,1,-0.52,1,0,1,-0.1,1,,,,,,,,,,,
33.101,0,1,1,-0.5,0.96,-0.1,0.9,-0.1,1,,,,,,,,,,,
33.701,0,1,1,-0.54,0.36,-0.3,0.4,-0.2,0.3,,,,,,,,,,,
34.401,0,1,1,-0.52,1,-0.6,1,-0.4,1,,,,,,,,,,,
35.001,0,1,1,-0.56,-0.04,-0.2,0,-0.2,-0.1,,,,,,,,,,,
35.601,0,1,1,-0.52,-0.2,0,-0.3,0,-0.1,,,,,,,,,,,
36.201,0,1,1,-0.6,1,-0.2,1,-0.1,1,,,,,,,,,,,
36.801,0,1,1,-0.4,-0.2,-0.2,-0.1,-0.5,-0.3,,,,,,,,,,,
37.401,0,1,1,-0.54,-0.04,-0.1,-0.1,-0.2,0,,,,,,,,,,,
38.101,0,1,1,-0.54,-0.6,-0.2,-0.5,-0.1,-0.7,,,,,,,,,,,
38.701,0,1,1,-0.52,0.36,-0.2,0.3,0,0.4,,,,,,,,,,,
39.301,0,1,1,-0.58,0.96,-0.2,1,-0.3,0.9,,,,,,,,,,,
39.901,0,1,1,-0.36,-0.76,-0.2,-0.7,-0.2,-0.8,,,,,,,,,,,
40.501,0,1,1,-0.52,0.52,-0.1,0.5,-0.2,0.5,,,,,,,,,,,
41.201,0,1,1,-0.54,-0.84,0,-0.9,-0.3,-0.8,,,,,,,,,,,
41.901,0,1,1,-0.48,0.2,-0.1,0.3,-0.2,0.1,,,,,,,,,,,
42.501,0,1,1,-0.38,-0.44,-0.2,-0.5,0,-0.4,,,,,,,,,,,
43.101,0,1,1,-0.56,1,-0.2,1,-0.4,1,,,,,,,,,,,
43.701,0,1,1,-0.58,0.04,-0.2,0.1,-0.4,0,,,,,,,,,,,
44.301,0,1,1,-0.4,-0.28,-0.2,-0.3,-0.4,-0.3,,,,,,,,,,,
45.001,0,1,1,-0.5,-0.36,-0.1,-0.3,-0.2,-0.4,,,,,,,,,,,
45.601,0,1,1,-0.42,0.12,0,0.1,-0.1,0.1,,,,,,,,,,,
46.201,0,1,1,-0.56,1,-0.1,1,-0.1,1,,,,,,,,,,,
46.801,0,1,1,-0.5,-0.52,-0.2,-0.5,-0.2,-0.5,,,,,,,,,,,
47.401,0,1,1,-0.56,0.28,-0.2,0.3,-0.2,0.3,,,,,,,,,,,
48.101,0,1,1,-0.52,-0.92,-0.2,-0.9,-0.6,-0.9,,,,,,,,,,,
48.801,0,1,1,-0.56,0.44,-0.1,0.5,-0.1,0.4,,,,,,,,,,,
49.401,0,1,1,-0.46,-0.68,0,-0.7,-0.4,-0.7,,,,,,,,,,,
50.001,0,1,1,-0.6,1,-0.1,1,0,1,,,,,,,,,,,
50.601,0,1,1,-0.5,0.28,-0.2,0.3,-0.2,0.3,,,,,,,,,,,
51.201,0,1,1,-0.44,-0.52,0,-0.5,-0.2,-0.5,,,,,,,,,,,
51.901,0,1,1,-0.5,-0.12,-0.1,-0.1,-0.2,-0.1,,,,,,,,,,,
52.501,0,1,1,-0.46,-0.12,-0.3,-0.1,-0.5,-0.1,,,,,,,,,,,
53.101,0,1,1,-0.5,1,0,1,-0.2,1,,,,,,,,,,,
53.701,0,1,1,-0.62,-0.28,-0.2,-0.3,-0.1,-0.3,,,,,,,,,,,
54.301,0,1,1,-0.5,0.04,-0.2,0,-0.3,0.1,,,,,,,,,,,
54.901,0,1,1,-0.6,1,-0.1,1,-0.1,1,,,,,,,,,,,
55.601,0,1,1,-0.5,0.44,-0.1,0.4,-0.2,0.5,,,,,,,,,,,
56.301,0,1,1,-0.56,-0.92,-0.2,-0.8,-0.2,-0.9,,,,,,,,,,,
56.901,0,1,1,-0.52,0.84,-0.1,0.8,-0.3,0.9,,,,,,,,,,,
57.501,0,1,1,-0.48,0.52,-0.1,0.5,-0.2,0.5,,,,,,,,,,,
58.101,0,1,1,-0.42,-0.76,-0.4,-0.8,-0.3,-0.7,,,,,,,,,,,
58.701,0,1,1,-0.6,0.96,-0.2,0.9,-0.2,1,,,,,,,,,,,
59.401,0,1,1,-0.44,-0.36,-0.2,-0.4,-0.2,-0.3,,,,,,,,,,,
60.001,0,1,1,-0.6,1,-0.2,1,-0.1,1,,,,,,,,,,,
60.601,0,1,1,-0.56,-0.04,-0.1,0,-0.2,-0.1,,,,,,,,,,,
61.201,0,1,1,-0.5,-0.2,-0.1,-0.3,-0.3,-0.1,,,,,,,,,,,
61.801,0,1,1,-0.52,1,-0.3,1,-0.3,1,,,,,,,,,,,
62.401,0,1,1,-0.48,-0.2,0,-0.1,-0.2,-0.3,,,,,,,,,,,
