time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz)
3.001,10.33,35.655,10.33,10.33,4.758,103.299,48.65,103.299,47.984
3.601,10.275,29.714,10.275,10.275,4.265,102.749,43.877,102.749,42.766
4.101,10.144,26.091,10.241,10.105,4.048,100.951,41.453,101.195,40.966
4.801,8.665,22.287,10.206,8.177,3.808,82.691,38.742,83.316,38.325
5.301,7.848,20.185,10.187,7.101,3.637,71.873,36.974,72.251,36.597
6.001,6.932,17.83,10.165,5.876,3.379,59.323,34.328,59.49,33.994
6.701,6.208,15.968,10.148,4.91,3.253,49.396,33.129,48.649,32.831
7.301,5.698,14.656,10.136,4.323,3.189,43.419,32.324,42.871,32.05
7.901,5.265,13.543,10.125,3.779,3.2,38.223,32.401,37.084,32.148
8.501,4.894,12.587,10.116,3.301,3.016,33.055,30.585,32.349,30.349
9.101,4.571,11.757,10.109,2.879,2.997,28.678,30.326,28.129,30.107
9.801,4.244,10.917,10.101,2.471,2.885,24.895,29.181,24.283,28.977
10.401,4,10.287,10.095,2.106,2.911,21.056,29.42,20.383,29.228
11.001,3.781,9.726,10.09,1.813,2.894,17.453,29.27,17.271,29.088
11.601,3.586,9.223,10.085,1.564,2.783,14.999,28.101,14.826,27.929
12.301,3.382,8.698,10.08,1.302,2.8,12.763,28.29,12.357,28.128
12.801,3.25,8.359,10.077,1.137,2.787,11.327,28.123,10.702,27.967
13.501,3.081,7.925,10.073,0.898,2.761,8.74,27.85,8.37,27.702
14.201,2.929,7.535,10.07,0.713,2.696,7.112,27.181,6.76,27.04
14.801,2.811,7.229,10.067,0.558,2.721,5.473,27.431,5.54,27.295
15.401,2.701,6.948,10.064,0.404,2.654,4.156,26.752,3.831,26.622
16.001,2.6,6.687,10.062,0.252,2.642,2.75,26.623,2.5,26.498
16.601,2.506,6.445,10.06,0.137,2.667,1.807,26.866,1.506,26.745
17.301,2.404,6.185,10.057,0,2.617,0.289,26.357,0.462,26.241
18.001,2.311,5.944,10.055,-0.119,2.571,-0.944,25.887,-0.611,25.776
18.601,2.236,5.752,10.053,-0.205,2.596,-1.882,26.128,-1.344,26.02
19.101,2.178,5.602,10.052,-0.28,2.58,-2.618,25.967,-2.094,25.863
19.801,2.101,5.404,10.05,-0.382,2.539,-3.586,25.554,-2.828,25.453
20.401,2.039,5.245,10.049,-0.458,2.563,-4.068,25.783,-3.578,25.685
21.001,1.981,5.095,10.047,-0.552,2.548,-5.143,25.713,-4.428,25.523
21.701,1.917,4.931,10.046,-0.626,2.547,-5.622,25.621,-5.299,25.529
22.301,1.865,4.798,10.044,-0.7,2.516,-6.412,25.38,-5.829,25.201
22.901,1.817,4.672,10.043,-0.763,2.501,-6.943,25.152,-6.681,25.064
23.501,1.77,4.553,10.042,-0.828,2.522,-7.702,25.361,-7.106,25.276
24.101,1.726,4.44,10.041,-0.886,2.488,-8.215,25.061,-7.718,24.895
24.801,1.677,4.314,10.04,-0.952,2.511,-9.072,25.241,-8.346,25.16
25.501,1.631,4.196,10.039,-1.01,2.481,-9.372,24.94,-8.823,24.862
26.001,1.6,4.115,10.038,-1.061,2.472,-9.884,24.845,-9.307,24.768
26.601,1.564,4.022,10.037,-1.094,2.487,-10.075,25.037,-9.699,24.886
27.201,1.529,3.934,10.036,-1.147,2.441,-10.625,24.558,-10.183,24.484
27.801,1.496,3.849,10.036,-1.175,2.456,-10.755,24.675,-10.359,24.603
